,French,English
0,partie,part
1,chercher,search
2,aide,help
3,demande,request
4,genre,kind
5,frère,brother
6,laisser,let
7,car,because
8,mettre,to put
9,laisse,leash
10,eux,them
11,ville,city
12,chaque,each
13,parlé,speak
14,arrivé,come
15,devrait,should
16,bébé,baby
17,heures,hours
18,vont,will
19,pendant,while
20,aucune,any
21,place,square
22,parle,speak
23,compris,understood
24,savais,knew
25,étaient,were
26,attention,Warning
27,pourrais,could
28,affaire,case
29,donner,give
30,type,type
31,leurs,their
32,donné,given
33,train,train
34,corps,body
35,endroit,place
36,yeux,eyes
37,écoute,listen
38,dont,whose
39,trouve,find
40,premier,first
41,première,first
42,côté,side
43,vieux,old
44,sois,be
45,tiens,here
46,matin,morning
47,tellement,so much
48,enfant,child
49,point,point
50,venu,came
51,suite,after
52,pardon,sorry
53,venez,come
54,devant,in front of
55,vers,towards
56,minutes,minutes
57,demandé,request
58,chambre,bedroom
59,mis,placed
60,droit,law
61,aujourd'hui,today
62,mari,husband
63,cause,cause
64,enfin,finally
65,espère,hope
66,eau,water
67,parti,left
68,nouvelle,new
69,boulot,job
70,arrêter,Stop
71,dirait,would say
72,donne,given
73,fin,end
74,croire,believe
75,chérie,sweetheart
76,plutôt,rather
77,aura,will have
78,jouer,to play
