,Unnamed: 0,French,English
0,0,partie,part
1,1,chercher,search
2,2,seulement,only
3,3,police,police
4,4,pensais,thought
5,5,aide,help
6,6,demande,request
7,7,genre,kind
8,8,mois,month
9,9,frère,brother
10,10,laisser,let
11,11,car,because
12,12,mettre,to put
13,13,aucun,no
14,14,laisse,leash
15,15,eux,them
16,16,ville,city
17,17,chaque,each
18,18,parlé,speak
19,19,arrivé,come
20,20,devrait,should
21,21,bébé,baby
22,22,longtemps,long time
23,23,heures,hours
24,24,vont,will
25,25,pendant,while
26,26,revoir,meet again
27,28,place,square
28,30,compris,understood
29,31,savais,knew
30,32,étaient,were
31,33,attention,Warning
32,34,voici,here is
33,35,pourrais,could
34,36,affaire,case
35,37,donner,give
36,38,type,type
37,39,donné,given
38,40,train,train
39,41,corps,body
40,42,endroit,place
41,43,yeux,eyes
42,44,façon,way
43,45,écoute,listen
44,46,dont,whose
45,47,trouve,find
46,48,premier,first
47,49,perdu,lost
48,50,première,first
49,51,côté,side
50,53,vieux,old
51,54,sois,be
52,55,tiens,here
53,56,matin,morning
54,57,tellement,so much
55,58,enfant,child
56,59,point,point
57,60,venu,came
58,61,suite,after
59,62,venez,come
60,63,devant,in front of
61,65,minutes,minutes
62,66,demandé,request
63,67,chambre,bedroom
64,68,mis,placed
65,69,belle,beautiful
66,70,droit,law
67,71,aimerais,would like to
68,72,aujourd'hui,today
69,73,mari,husband
70,74,cause,cause
71,75,enfin,finally
72,76,espère,hope
73,77,eau,water
74,78,attendez,Wait
75,79,parti,left
76,80,nouvelle,new
77,81,boulot,job
78,82,arrêter,Stop
79,83,dirait,would say
80,84,terre,Earth
81,85,compte,account
82,86,donne,given
83,87,loin,far
84,88,fin,end
85,89,croire,believe
86,90,chérie,sweetheart
87,91,gros,large
88,92,plutôt,rather
89,93,aura,will have
90,94,bureau,office
